Handle,Title,Option1 Name,Option1 Value,Body (HTML)
cats-eye-vhs-rental-horror,Cat's Eye,Genre,Horror,"<p>Three short stories linked by a stray cat that roams from one tale to the next, in this creepy triptych that begins as Dick tries to quit smoking by any means necessary. Next, we meet Johnny, an adulterous man who's forced by his lover's husband onto a building's hazardous ledge. Finally, Amanda is threatened by an evil gnome who throws suspicion on the family cat.</p>"
breaking-free-vhs-rental-drama,Breaking Free,Genre,Drama,"<p>When troubled, cynical teen Rick chooses service at a camp for the blind over serving time, he thinks he's found the easy way out. Instead, it's the way to a new life. Step by step, as Rick helps a blind gymnast rediscover the joys of competition through equestrian show jumping, they begin to take control of the most important journey of all... a journey called life.</p>"
bride-of-the-wind-vhs-rental-drama,Bride of the Wind,Genre,Drama,"<p>A biopic of Alma Mahler, the wife of composer Gustav Mahler (as well as Walter Gropius and Franz Werfel), and the mistress of Oskar Kokoschka.</p>"
clarence-vhs-rental-kids-family,Clarence,Genre,Kids & Family,"<p>The title character is a resourceful young man who knows a whole little about a whole lot of things, and who concentrates by playing his saxophone. Clarence ingratiates himself with the wealthy and eccentric Wheeler family, though daughter Cora can't stand the boy.</p>"
no-escape-vhs-rental-action,No Escape,Genre,Action,"<p>In the year 2022, a ruthless prison warden has created the ultimate solution for his most troublesome and violent inmates: Absolom, a secret jungle island where prisoners are abandoned and left to die. But Marine Captain John Robbins, convicted of murdering a commanding officer, is determined to escape the island in order to reveal the truth behind his murderous actions and clear his name.</p>"
charlies-angels-vhs-rental-action,Charlie's Angels,Genre,Action,"<p>The captivating crime-fighting trio who are masters of disguise, espionage and martial arts are back! When a devious mastermind embroils them in a plot to destroy individual privacy, the Angels, aided by their loyal sidekick Bosley, set out to bring down the bad guys. But when a terrible secret is revealed, it makes the Angels targets for assassination.</p>"
clean-slate-vhs-rental-comedy,Clean Slate,Genre,Comedy,"<p>Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient.</p>"
the-squeeze-vhs-rental-comedy,The Squeeze,Genre,Comedy,"<p>Harry Berg is both a con artist and an actual artist -- he constructs large sculptures out of television sets -- but he is not particularly successful in either role. He owes some money, which gets him involved with Rachel Dobs, a police detective who works with a collection agency. When Harry comes into possession of a strange parcel, both the con man and the detective find themselves wrapped up in a sinister corporate plot to fix the lottery.</p>"
whipped-vhs-rental-comedy,Whipped,Genre,Comedy,"<p>Three to one may sound like fairly good odds, but it depends on the game. When the ""one"" is one very irresistible woman and the ""three"" are three hopelessly smitten guys, the deck is pretty stacked. In the battle of the sexes, the first rule is to never underestimate the power of a woman.</p>"
the-body-vhs-rental-thriller,The Body,Genre,Thriller,"<p>An ancient skeleton has been discovered in Jerusalem in a rich man's tomb. Colouration of the wrist and leg bones indicates the cause of death was crucifiction. other signs, include a gold coin bearing the marks of Pontius Pilate and faint markings around the skull, lead authorities to suspect that these could be the bones of Jesus Christ. Politicians, clerics, religious extremists and those using terror as a means to an end, find their beliefs and identities tested while risking their lives to unearth the truth.....</p>"
nomads-vhs-rental-thriller,Nomads,Genre,Thriller,"<p>One night, in a Los Angeles hospital, Dr. Flax attends to a seriously injured man who, apparently crazed, whispers mysterious and disconcerting words in French into her ear.</p>"
betrayed-vhs-rental-thriller,Betrayed,Genre,Thriller,<p>An FBI agent posing as a combine driver becomes romantically involved with a Midwest farmer who lives a double life as a white supremacist.</p>
rogue-dvd-rental-thriller,Rogue,Genre,Thriller,"<p>When a group of tourists stumble into the remote Australian river territory of an enormous crocodile, the deadly creature traps them on a tiny mud island with the tide quickly rising and darkness descending. As the hungry predator closes in, they must fight for survival against all odds.</p>"
hitman-dvd-rental-thriller,Hitman,Genre,Thriller,"<p>A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.</p>"
send-it-dvd-rental-comedy,Send It!,Genre,Comedy,"<p>An extreme sportsman's life forever changes upon departing his simple Texas roots to compete in the world's most prestigious Kiteboarding Championship. Along the way, an edgy street-smart girl challenges him well beyond just kiting.</p>"
the-graduate-dvd-rental-drama,The Graduate,Genre,Drama,<p>A disillusioned college graduate finds himself torn between his older lover and her daughter.</p>
guess-who-dvd-rental-romantic-comedy,Guess Who,Genre,Romantic Comedy,"<p>When a young African-American woman brings her fiancé home to meet her parents, she's neglected to mention one tiny detail – he's white.</p>"
this-is-christmas-dvd-rental-holiday,This is Christmas,Genre,Holiday,"<p>Christmas is approaching, and best friends Harry, Jordan, Ben, and Dennis are at their annual get together before the holidays. As they share stories of their past year, it is clear they all still have a lot of growing to do. Jimmy struggles with an unhappy marriage and an ill-timed affair with his daughter's 17 year old babysitter. Meanwhile, his best friend Jordan splits from his partner, Steve, only to discover he may not be the biological father of their daughter. Harry struggles with an estranged relationship with his father and his ex-wife. But everything turns into total chaos when Ben loses custody of his son and decides kidnapping is the only way to save his family. Now these friends must come together and do the right thing, proving family and friendship is what is most important. With an all star ensemble cast, ""This Is Christmas"" is perfect for the holidays. -- from WowNow Entertainment</p>"
elf-dvd-rental-holiday,Elf,Genre,Holiday,"<p>When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.</p>"
tears-of-the-sun-dvd-rental-action,Tears of the Sun,Genre,Action,"<p>Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.</p>"
sniper-2-dvd-rental-action,Sniper 2,Genre,Action,"<p>A former Marine sniper is lured back in on a top-secret mission to take out a rogue general accused of running a stealth operation of hit-and-run ethnic cleansing missions in an area known as ""No Man's Land.""</p>"
project-a-dvd-rental-action,Project A,Genre,Action,"<p>In late 19th century Hong Kong, the British may rule the land, but the pirates rule the waters. Coast Guard officer Dragon Ma is determined that his beloved Coast Guard will not be made a fool of.</p>"
break-even-dvd-rental-action,Break Even,Genre,Action,<p>Four adventurous friends find 50M in cash at a remote island only to discover it was left by the DEA for the Cartel in a rogue deal.</p>
underdog-dvd-rental-kids-family,Underdog,Genre,Kids & Family,<p>A lab accident gives a beagle named Shoeshine some serious superpowers -- a secret that the dog eventually shares with the young boy who becomes his owner and friend.</p>
the-invincible-iron-man-dvd-rental-action,The Invincible Iron Man,Genre,Action,"<p>When a cocky industrialist's efforts to raise an ancient Chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.</p>"
the-wedding-date-dvd-rental-romantic-comedy,The Wedding Date,Genre,Romantic Comedy,"<p>With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.</p>"
fury-dvd-rental-action,Fury,Genre,Action,"<p>April, 1945. As the Allies make their final push in the European Theater, a battle-hardened army sergeant commands a Sherman tank with a five-man crew on a deadly mission behind enemy lines.</p>"
catch-and-release-dvd-rental-romantic-comedy,Catch and Release,Genre,Romantic Comedy,"<p>For a grieving fiancée, learning to love again requires the help of her late love's three best friends.</p>"
the-wedding-planner-dvd-rental-romantic-comedy,The Wedding Planner,Genre,Romantic Comedy,"<p>San Francisco's premiere wedding planner, Mary Fiore is rescued from an accident by the man of her dreams, pediatrician Steve Edison, only to find he is the fiancé of her latest client. As Mary continues making their wedding arrangements, she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction.</p>"
ray-dvd-rental-musical,Ray,Genre,Musical,"<p>Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered coupling gospel and country together.</p>"
grease-dvd-rental-musical,Grease,Genre,Musical,"<p>Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?</p>"
the-holiday-dvd-rental-romantic-comedy,The Holiday,Genre,Romantic Comedy,"<p>Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.</p>"
how-to-train-your-dragon-2-dvd-rental-kids-family,How to Train Your Dragon 2,Genre,Kids & Family,"<p>Five years after uniting the dragons and Vikings of Berk, Hiccup and Toothless soar beyond their homeland, charting the vast unknown. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider with a startling connection to Hiccup. And as the ruthless dragon conqueror Drago Bludvist rises to seize control of both dragons and people alike, Hiccup must step into his role as a true leader and, alongside his friends and Toothless, protect Berk from a devastating war.</p>"
ice-age-dvd-rental-kids-family,Ice Age,Genre,Kids & Family,"<p>Manny the mammoth, Sid the loquacious sloth, and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father, across a world on the brink of an ice age.</p>"
enchanted-dvd-rental-kids-family,Enchanted,Genre,Kids & Family,"<p>The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?</p>"
two-brothers-dvd-rental-kids-family,Two Brothers,Genre,Kids & Family,"<p>Two tigers are separated as cubs and taken into captivity, only to be reunited years later as enemies by an explorer (Pearce) who inadvertently forces them to fight each other.</p>"
dancing-on-ice-dvd-rental-kids-family,Dancing on Ice,Genre,Kids & Family,"<p>New Year 1996. The Balkans are shaken by nationalist wars, after the overthrow of socialist regimes. The wars have resulted in economic crisis and large population displacements. Three women, unknown to each other, from different Eastern European countries, meet in a border town in Bulgaria, in order to cross illegally into Greece.</p>"
the-polar-express-dvd-rental-kids-family,The Polar Express,Genre,Kids & Family,"<p>When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.</p>"
hoot-dvd-rental-kids-family,Hoot,Genre,Kids & Family,"<p>A young man moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls.</p>"
true-heart-dvd-rental-kids-family,True Heart,Genre,Kids & Family,"<p>A brother and sister are plane-wrecked in Canada, where they must rely on the help of a native and his bear.</p>"
curious-george-dvd-rental-kids-family,Curious George,Genre,Kids & Family,"<p>When The Man in the Yellow Hat befriends Curious George in the jungle, they set off on a non-stop, fun-filled journey through the wonders of the big city toward the warmth of true friendship.</p>"
the-shallows-dvd-rental-thriller,The Shallows,Genre,Thriller,"<p>While surfing on a secluded beach, Nancy finds herself in the feeding grounds of a great white shark. Though stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of her ingenuity, resourcefulness, and fortitude.</p>"
the-ghost-writer-dvd-rental-thriller,The Ghost Writer,Genre,Thriller,<p>A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.</p>
the-remains-dvd-rental-horror,The Remains,Genre,Horror,"<p>After a family moves into an old Victorian home, they discover a chest in the attic containing antiques tainted by a malevolent spirit. As the antiques slowly possess each family member, the spirit grows stronger, hellbent on kidnapping the children.</p>"
passengers-dvd-rental-sci-fi,Passengers,Genre,Sci-Fi,"<p>A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.</p>"
the-watch-dvd-rental-comedy,The Watch,Genre,Comedy,"<p>Four everyday suburban guys come together as an excuse to escape their humdrum lives one night a week. But when they accidentally discover that their town has become overrun with aliens posing as ordinary suburbanites, they have no choice but to save their neighborhood – and the world – from total extermination.</p>"
fences-dvd-rental-drama,Fences,Genre,Drama,"<p>In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.</p>"
phenomenon-dvd-rental-drama,Phenomenon,Genre,Drama,"<p>An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.</p>"
road-to-perdition-dvd-rental-drama,Road to Perdition,Genre,Drama,"<p>Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.</p>"
infamous-dvd-rental-drama,Infamous,Genre,Drama,"<p>While researching his book In Cold Blood, writer Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith.</p>"
as-good-as-it-gets-dvd-rental-romantic-comedy,As Good As It Gets,Genre,Romantic Comedy,"<p>A misanthropic author, a single mother and waitress, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.</p>"
the-darkness-dvd-rental-horror,The Darkness,Genre,Horror,<p>A family returns from a Grand Canyon vacation with a supernatural presence in tow.</p>
believers-dvd-rental-horror,Believers,Genre,Horror,<p>Two paramedics responding to an emergency call find themselves kidnapped by a religious sect whose great obsession is to stop the end of the world by committing suicide and killing people.</p>
bone-daddy-dvd-rental-horror,Bone Daddy,Genre,Horror,"<p>Doctor Palmer, a former pathologist, wrote a fictional book based on his real cases. In the book, the madman gets caught, but in reality he is still uncaught. After the book is released, Palmer's editor is kidnapped. Palmer soon is sent a present containing a page of his book, and a bone from his editor. Together with the police, Palmer tries to find his editor, who might still be alive. In addition, his own son becomes one of the main suspects. Written by Julian Reischl</p>"
robin-hood-dvd-rental-fantasy,Robin hood,Genre,Fantasy,<p>A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.</p>
season-of-the-witch-dvd-rental-fantasy,Season of the Witch,Genre,Fantasy,"<p>A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.</p>"
iron-man-dvd-rental-action,Iron Man,Genre,Action,"<p>After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.</p>"
the-wave-dvd-rental-action,The Wave,Genre,Action,"<p>Although theorised, no one is really ready when a mountain pass above the scenic and narrow Geiranger fjord in Norway collapses and creates a tsunami over 300 feet high. A geologist is one of those caught in the middle of it.</p>"
machete-dvd-rental-action,Machete,Genre,Action,"<p>After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.</p>"
hidalgo-dvd-rental-action,Hidalgo,Genre,Action,"<p>Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...</p>"
ghost-in-the-family-dvd-rental-comedy,Ghost in the Family,Genre,Comedy,"<p>When an emotionally broken family moves into a house haunted by Tom, a suffering spirit, Tom sees an opportunity to try and save his soul by teaching the family how to live again...but quickly discovers that is easier said than done.</p>"
blue-streak-dvd-rental-comedy,Blue Streak,Genre,Comedy,"<p>Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an LAPD detective.</p>"
knocked-up-dvd-rental-comedy,Knocked Up,Genre,Comedy,"<p>A slacker and a career-driven woman accidentally conceive a child after a one-night stand. As they try to make the relationship work, they must navigate the challenges of parenthood and their differences in lifestyle and maturity.</p>"
the-oath-dvd-rental-comedy,The Oath,Genre,Comedy,"<p>In a politically-divided United States, a man struggles to make it through the Thanksgiving holiday without destroying his family.</p>"
tombstone-dvd-rental-drama,Tombstone,Genre,Drama,"<p>Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.</p>"
casino-dvd-rental-drama,Casino,Genre,Drama,"<p>In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.</p>"
the-game-dvd-rental-thriller,The Game,Genre,Thriller,"<p>In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.</p>"
troy-dvd-rental-action,Troy,Genre,Action,"<p>In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.</p>"
big-fish-dvd-rental-drama,Big Fish,Genre,Drama,"<p>Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.</p>"
starsky-hutch-dvd-rental-comedy,Starsky & Hutch,Genre,Comedy,"<p>Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman.</p>"
cars-dvd-rental-kids-family,Cars,Genre,Kids & Family,"<p>Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.</p>"
unfaithful-dvd-rental-thriller,Unfaithful,Genre,Thriller,<p>A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.</p>
garden-state-dvd-rental-drama,Garden State,Genre,Drama,"<p>Andrew returns to his hometown for his mother’s funeral, a journey that reconnects him with old friends. The trip coincides with his decision to stop taking his powerful antidepressants. A chance meeting with Sam—a girl also struggling with various maladies—opens up the possibility of rekindling emotional connections, confronting his psychologist father, and perhaps beginning a new life.</p>"
friday-night-lights-dvd-rental-drama,Friday Night Lights,Genre,Drama,"<p>A small, turbulent town in Texas obsesses over their high school football team to an unhealthy degree. When the star tailback, Boobie Miles, is seriously injured during the first game of the season, all hope is lost, and the town's dormant social problems begin to flare up. It is left to the inspiring abilities of new coach Gary Gaines to instill in the other team members -- and, by proxy, the town itself -- a sense of self-respect and honor.</p>"
footloose-dvd-rental-musical,Footloose,Genre,Musical,"<p>Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.</p>"
avatar-bluray-rental-sci-fi,Avatar,Genre,Sci-Fi,"<p>In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.</p>"
reservoir-dogs-dvd-rental-thriller,Reservoir Dogs,Genre,Thriller,"<p>A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.</p>"
knowing-bluray-rental-thriller,Knowing,Genre,Thriller,<p>A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.</p>
the-hangover-bluray-rental-comedy,The Hangover,Genre,Comedy,"<p>When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.</p>"
watchmen-bluray-rental-action,Watchmen,Genre,Action,"<p>In a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close by a government crackdown. But after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so they uncover a sinister plot that puts all of humanity in grave danger.</p>"
aviator-bluray-rental-drama,Aviator,Genre,Drama,"<p>Upon arriving in Cartagena, Colombia, American pilot Benjamin Grey's passport and money are stolen leaving him stranded. Shortly after he receives a call from his son's doctor, who informs him that he is his Leukemia-stricken son's only chance for survival, and the clock is ticking</p>"
blade-ii-dvd-floor-sale-action,Blade II,Genre,Action,"<p>Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.</p>"
sphere-dvd-floor-sale-sci-fi,Sphere,Genre,Sci-Fi,"<p>A spacecraft is discovered at the bottom of the Pacific Ocean, presumed to be at least 300 years old and of alien origin. A crack team of scientists and experts is assembled and taken to the ocean floor to investigate. However, the ship is not as it seems and when a giant perfect sphere is discovered in the cargo bay, things begin to fall apart.</p>"
die-hard-dvd-floor-sale-action,Die Hard,Genre,Action,"<p>High above the city of L.A. a team of terrorists has seized a building, taken hostages, and declared war. One man has manages to escape... An off-duty cop hiding somewhere inside. He's alone, tired... and the only chance anyone has got.</p>"
eye-of-the-beholder-dvd-floor-sale-thriller,Eye of the Beholder,Genre,Action,"<p>A reclusive surveillance expert is hired to spy on a mysterious blackmailer, who just may be a serial killer.</p>"
national-treasure-dvd-floor-sale-kids-family,National Treasure,Genre,Kids & Family,"<p>Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.</p>"
sunshine-dvd-floor-sale-sci-fi,Sunshine,Genre,Sci-Fi,"<p>Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.</p>"
gladiator-dvd-floor-sale-action,Gladiator,Genre,Action,"<p>After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.</p>"
dark-city-dvd-floor-sale-sci-fi,Dark City,Genre,Sci-Fi,"<p>A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun and run by beings with telekinetic powers who seek the souls of humans.</p>"
war-of-the-worlds-dvd-floor-sale-sci-fi,War of the Worlds,Genre,Sci-Fi,"<p>Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.</p>"
wild-things-dvd-floor-sale-thriller,Wild Things,Genre,Thriller,"<p>When teen-socialite Kelly Van Ryan and troubled bad girl Suzie Toller accuse guidance counselor Sam Lombardo of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop suspects conspiracy, but nothing is what it seems...</p>"
disturbia-dvd-floor-sale-thriller,Disturbia,Genre,Thriller,"<p>Kale has a life most teenagers would envy. He spends his days endlessly playing video games, surfing the net, eating junk food and watching cable. He has complete free reign of the house, and a beautiful young hottie named Ashley has just moved in next door. There’s only one problem—he’s not allowed to leave the house. Kale’s under court-ordered house arrest for three months, and if he takes one step beyond a 100-foot perimeter of the house, his next confinement will be in a real prison.</p>"
dune-dvd-floor-sale-sci-fi,Dune,Genre,Sci-Fi,"<p>In the year 10,191, the most precious substance in the universe is the spice Melange. The spice extends life. The spice expands consciousness. The spice is vital to space travel.  The spice exists on only one planet in the entire universe, the vast desert planet Arrakis, also known as Dune.  Its native inhabitants, the Fremen, have long held a prophecy that a man would come, a messiah who would lead them to true freedom.</p>"
the-descent-dvd-floor-sale-horror,The Descent,Genre,Horror,"<p>After a personal tragedy, Sarah joins her friends on a caving expedition in the Appalachian Mountains. But when a rockfall traps them deep underground, their adventure turns into a nightmare. As they search for a way out, the group discovers they are not alone—lurking in the darkness are savage, cave-dwelling creatures. With rising tension and dwindling trust, the women must fight to survive against both the predators and each other.</p>"
python-dvd-floor-sale-horror,Python,Genre,Horror,"<p>After a military plane crashes outside of a small American town, its cargo — a genetically engineered, sixty-foot-long python — begins stalking and killing the locals.</p>"
clerks-ii-dvd-floor-sale-comedy,Clerks II,Genre,Comedy,"<p>A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.</p>"
eternals-dvd-floor-sale-sci-fi,Eternals,Genre,Horror,"<p>The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.</p>"
the-mist-dvd-floor-sale-horror,The Mist,Genre,Horror,"<p>After a violent storm, a dense cloud of mist envelops a small Maine town, trapping David Drayton and his five-year-old son in a local grocery store with other local residents. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.</p>"
sleepwalkers-dvd-floor-sale-horror,Sleepwalkers,Genre,Horror,"<p>Charles Brady and his mother, Mary, are the last of a dying breed whose needs are not of this world.  They are Sleepwalkers - able to stay alive only by feeding on the life-force of the innocent, but destined to roam the earth, avoiding discovery while searching for their next victim.  That search takes them to the sleepy little town of Travis, Indiana, where beautiful teenager Tanya Robertson is about to become an unwilling pawn in their nightmarish fight for survival.</p>"
tomorrowland-dvd-floor-sale-kids-family,Tomorrowland,Genre,Kids & Family,"<p>Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""</p>"
beautiful-creatures-dvd-floor-sale-thriller,Beautiful Creatures,Genre,Thriller,"<p>When Petula and Dorothy cover up the accidental murder of one jerk boyfriend, they hatch a hilarious scheme to collect a huge ransom.</p>"
outbreak-dvd-floor-sale-thriller,Outbreak,Genre,Thriller,"<p>A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.</p>"
cellular-dvd-floor-sale-thriller,Cellular,Genre,Thriller,<p>A young man receives an emergency phone call on his cell phone from an older woman. She claims to have been kidnapped – and the kidnappers have targeted her husband and child next.</p>
the-happening-dvd-floor-sale-sci-fi,The Happening,Genre,Sci-Fi,"<p>When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliot Moore and his wife Alma flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister?</p>"
willow-dvd-floor-sale-fantasy,Willow,Genre,Fantasy,"<p>The evil Queen Bavmorda hunts the newborn princess Elora Danan, a child prophesied to bring about her downfall. When the royal infant is found by Willow, a timid farmer and aspiring sorcerer, he's entrusted with delivering her from evil.</p>"
happy-feet-dvd-floor-sale-kids-family,Happy Feet,Genre,Kids & Family,"<p>Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!</p>"
