Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no Rental or Floor Sale tag — cannot tell which this is,the-jackal,The Jackal,"This high-performance bowling ball features a dynamic asymmetrical core designed to deliver a massive mid-lane read and an explosive backend motion. Its premium reactive coverstock provides exceptional traction on heavy oil patterns, ensuring a powerful entry angle into the pocket. Serious players will appreciate the blend of incredible durability and relentless pin-carrying power this versatile equipment offers.",DVD,,Thriller,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDTHJ-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251879291.jpg?v=1782253789,1,191-DVDTHJ-001A,,,true,,Serial Number,001A,,,,,191-DVDTHJ-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251879291.jpg?v=1782253789,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,fear,Fear,"This graphic t-shirt features a bold and haunting design printed on high-quality, comfortable fabric. Its striking visual elements and modern fit make it an ideal choice for enthusiasts of alternative style or statement streetwear. The versatile color palette ensures it pairs effortlessly with denim or layered looks for any casual occasion.",DVD,,Thriller,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDFER-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251757325.jpg?v=1782253787,1,191-DVDFER-001A,,,true,,Serial Number,001A,,,,,191-DVDFER-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251757325.jpg?v=1782253787,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,8-mile,8 Mile,This grit-filled drama offers a compelling look at the underground battle rap scene and the pursuit of a dream against all odds. Its powerful performances and authentic storytelling make it a must-have for fans of musical biopics and intense urban narratives. This high-definition physical release provides a crisp viewing experience for one of the most influential films of the early 2000s.,DVD,Uncategorized,Drama,Condition,Standard,shopify,1,deny,manual,0.00,191-DVD8MI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251813164.jpg?v=1782253784,1,191-DVD8MI-001A,,,true,,Serial Number,001A,,,,,191-DVD8MI-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251813164.jpg?v=1782253784,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,the-lord-of-the-rings-the-fellowship-of-the-ring-fullscreen,The Lord of the Rings: The Fellowship of the Ring (Fullscreen),"Experience the beginning of an epic cinematic journey in this classic fullscreen edition, perfect for viewers who prefer a traditional aspect ratio on older television screens. This physical media copy allows you to enjoy the immersive world of Middle-earth and its legendary characters without the need for a streaming subscription. It is an essential addition for any fantasy fan looking to complete their home movie library with an iconic adventure.",DVD,,Fantasy,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDTHL-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251984515.jpg?v=1782253777,1,191-DVDTHL-001A,,,true,,Serial Number,001A,,,,,191-DVDTHL-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251984515.jpg?v=1782253777,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,cold-pursuit,Cold Pursuit,"This high-definition Blu-ray release offers a gripping cinematic experience centered on a father seeking justice in a frozen mountain landscape. It features stunning visuals of snow-covered terrain along with bonus content that provides a behind-the-scenes look at the making of this intense action thriller. The film blends dark humor with stylized violence, making it an essential addition for fans of gritty revenge stories and cinematic storytelling.",DVD,,Action,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDCOL-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251280113.jpg?v=1782253761,1,191-DVDCOL-001A,,,true,,Serial Number,001A,,,,,191-DVDCOL-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251280113.jpg?v=1782253761,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,black-sheep,Black Sheep,"This unique collectible features a soft, textured finish and a charming monochromatic design that stands out in any display. Its minimalist aesthetic and high-quality craftsmanship make it a sophisticated addition for enthusiasts of stylized animal figures. Ideal for adding a touch of personality to a shelf or desk, this piece blends whimsical character with a sleek, modern look.",DVD,,Comedy,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDBLA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251321990.jpg?v=1782253752,1,191-DVDBLA-001A,,,true,,Serial Number,001A,,,,,191-DVDBLA-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251321990.jpg?v=1782253752,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,spider-man-3,Spider-Man 3,"This poseable action figure features the iconic black costume design and multiple points of articulation for dynamic display options. Detailed sculpting captures the intricate web patterns and athletic build, making it a must-have addition for any classic superhero figure collection. High-quality materials ensure durability whether it is being used for imaginative play or showcased on a shelf.",Dvd,,Action,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDSPD-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251130457.jpg?v=1782253749,1,191-DVDSPD-001A,,,true,,Serial Number,001A,,,,,191-DVDSPD-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251130457.jpg?v=1782253749,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,life-aquatic,Life Aquatic,This special edition features a stunning high-definition digital restoration supervised by the director alongside a wealth of exclusive behind-the-scenes documentaries and interviews. Collectors will appreciate the inclusion of an original insert featuring artwork and production notes that deepen the viewing experience of this whimsical maritime adventure. It is an essential addition for any cinephile looking to own the definitive version of this quirky cult classic.,Dvd,,Drama,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDLIF-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251072291.jpg?v=1782253746,1,191-DVDLIF-001A,,,true,,Serial Number,001A,,,,,191-DVDLIF-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782251072291.jpg?v=1782253746,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,4400-the-complete-first-season,4400: The Complete First Season,"This premiere season collection follows the mysterious return of thousands of missing people across several decades, all reappearing at once without having aged a day. The two-disc set captures the suspense and supernatural intrigue of the initial episodes as investigators work to uncover the truth behind their sudden reappearance. Experience the high-stakes drama and character-driven storytelling that launched this acclaimed science fiction mystery series.",DVD,,Thriller,Condition,Standard,shopify,1,deny,manual,0.00,191-DVD440-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250733322.jpg?v=1782253741,1,191-DVD440-001A,,,true,,Serial Number,001A,,,,,191-DVD440-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250733322.jpg?v=1782253741,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,kill-bill-volume-2,Kill Bill Volume 2,"This high-definition Blu-ray edition brings the thrilling conclusion of the legendary revenge saga to life with stunning visual clarity and immersive audio. Collectors will appreciate the inclusion of exclusive bonus features, including deleted scenes and a behind-the-scenes look at the making of this cinematic masterpiece. It is an essential addition for any film enthusiast looking to complete their library of iconic action cinema.",DVD,,Thriller,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDKIL-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250664774.jpg?v=1782253735,1,191-DVDKIL-001A,,,true,,Serial Number,001A,,,,,191-DVDKIL-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250664774.jpg?v=1782253735,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,cobra-verde-dvd,Cobra Verde (DVD),This cinematic masterpiece follows an impoverished rancher who travels to West Africa and becomes a powerful slave trader in a haunting tale of madness and ambition. This physical media edition offers a high-quality viewing experience of the visually stunning collaboration between a legendary director and his volatile lead actor. It is an essential addition for collectors who appreciate intense historical dramas and the peak of international arthouse cinema.,DVD,,Drama,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDCOB-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250607257.jpg?v=1782253734,1,191-DVDCOB-001A,,,true,,Serial Number,001A,,,,,191-DVDCOB-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250607257.jpg?v=1782253734,lb,,,active
no media format (Vendor 'The Franchise Collection' is not VHS/DVD/Blu-Ray/4K),best-of-abbott-and-costello-volume-4,Best of Abbott and Costello Volume 4,"This classic DVD compilation features a hilarious selection of digitally remastered films from one of Hollywood's most legendary comedy duos. Fans can enjoy hours of timeless slapstick, witty banter, and iconic sketches that have entertained audiences for generations. It is a must-have addition for any cinema enthusiast looking to complete their vintage media library.",The Franchise Collection,,"Comedy, Rental",Condition,Standard,shopify,1,deny,manual,0.00,191-THFBES-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250421185.jpg?v=1782253727,1,191-THFBES-001A,,,true,,Serial Number,001A,,,,,191-THFBES-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250421185.jpg?v=1782253727,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,la-strada,LA STRADA,"This definitive high-definition digital restoration captures a cinematic masterpiece with stunning visual clarity and uncompressed monaural sound. The release includes scholarly audio commentary, a feature-length documentary on the director, and an insightful visual essay that explores the film's profound poetic legacy. It is an essential addition for collectors seeking a deeper understanding of one of Italian cinema's most heart-wrenching and enduring stories.",DVD,,Drama,Condition,Standard,shopify,1,deny,manual,0.00,191-THCFED-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250787839.jpg?v=1782253724,1,191-THCFED-001A,,,true,,Serial Number,001A,,,,,191-THCFED-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250787839.jpg?v=1782253724,lb,,,active
product has 2 variants,royal-tenenbaums,Royal Tenenbaums,This special edition double-disc set features a director-approved digital transfer accompanied by an audio commentary and a collection of behind-the-scenes documentaries. The physical package includes a collectible insert with original illustrations and promotional artwork that captures the whimsical aesthetic of the film. It is an essential addition for cinema enthusiasts looking to explore the creative process through extensive interviews and deleted scenes.,DVD,,"Comedy, Rental",Condition,Standard,shopify,1,deny,manual,0.00,191-DVDROY-002A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250674736.jpg?v=1782253719,1,191-DVDROY-002A,,,true,,Serial Number,002A,,,,,191-DVDROY-002A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250674736.jpg?v=1782253719,lb,,,active
product has 2 variants,royal-tenenbaums,,,,,,,Standard,shopify,1,deny,manual,0.00,191-DVDROY-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250495411.jpg?v=1782253718,2,191-DVDROY-001A,,,,,,001A,,,,,191-DVDROY-001A,0.0,,true,true,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250495411.jpg?v=1782253718,lb,,,
no Rental or Floor Sale tag — cannot tell which this is,star-trek-nemesis,Star Trek: Nemesis,"Experience the final cinematic chapter of the Next Generation crew with this high-definition home media release. This disc features intense interstellar combat and deep character exploration, complete with bonus behind-the-scenes content and director commentary. It is a must-have addition for fans looking to complete their science fiction library with a pivotal moment in space-travel history.",DVD,,Sci-Fi,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDSTA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250086219.jpg?v=1782253700,1,191-DVDSTA-001A,,,true,,Serial Number,001A,,,,,191-DVDSTA-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250086219.jpg?v=1782253700,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,bambi,Bambi,"Experience the heartwarming classic in stunning high definition with this multi-format collection featuring the original animated masterpiece and a variety of behind-the-scenes bonus content. This anniversary set includes digital and physical copies, allowing for seamless viewing across all your favorite devices while preserving every vibrant detail of the lush hand-drawn forest. It is an essential addition for collectors and families looking to share a timeless story of friendship and nature's beauty.",BLU-RAY,,Kids & Family,Condition,Standard,shopify,1,deny,manual,0.00,191-BLRBAM-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250065772.jpg?v=1782253698,1,191-BLRBAM-001A,,,true,,Serial Number,001A,,,,,191-BLRBAM-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250065772.jpg?v=1782253698,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,napoleon-dynamite,Napoleon Dynamite,Capture the iconic aesthetic of early 2000s indie cinema with this classic graphic tee featuring a high-contrast character portrait. The breathable cotton construction and relaxed fit provide everyday comfort for fans of quirky cult comedies. It serves as an instantly recognizable statement piece that brings a nostalgic touch to any casual wardrobe.,DVD,,Comedy,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDNAP-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250040873.jpg?v=1782253696,1,191-DVDNAP-001A,,,true,,Serial Number,001A,,,,,191-DVDNAP-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250040873.jpg?v=1782253696,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,jumanji-welcome-to-the-jungle,Jumanji: Welcome to the Jungle,Experience the thrill of a high-stakes jungle adventure with this action-packed addition to your family movie collection. This physical copy allows you to revisit every comedic moment and stunning visual sequence in high definition from the comfort of your home. It includes a variety of special featurettes that take you behind the scenes for an immersive look at the making of this modern blockbuster hit.,BLU-RAY,,Kids & Family,Condition,Standard,shopify,1,deny,manual,0.00,191-BLRJUM-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250529029.jpg?v=1782253693,1,191-BLRJUM-001A,,,true,,Serial Number,001A,,,,,191-BLRJUM-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250529029.jpg?v=1782253693,lb,,,active
"no usable genre (Option1 Value 'Standard', tags Rental)",being-john-malkovich,Being John Malkovich,"This special edition release features a high-definition digital restoration supervised by the director alongside a wealth of exclusive bonus content including behind-the-scenes documentaries and filmmaker interviews. It includes a collectible booklet containing an essay on the film's cultural impact, making it an essential addition for fans of surrealist cinema and boutique physical media.",BLU-RAY,,Rental,Condition,Standard,shopify,1,deny,manual,0.00,191-BLRBEI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249961255.jpg?v=1782253687,1,191-BLRBEI-001A,,,true,,Serial Number,001A,,,,,191-BLRBEI-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249961255.jpg?v=1782253687,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,herbie-fully-loaded,Herbie: Fully Loaded,Join everyone’s favorite adventurous racing car in this family-friendly comedy filled with high-speed stunts and heartwarming humor. This DVD edition features exclusive behind-the-scenes footage and deleted scenes that capture the magic of the beloved franchise's modern revival. It is the perfect addition to any movie collection for fans of classic automotive action and lighthearted storytelling.,Walt Disney Pictures,,Kids & Family,Condition,Standard,shopify,1,deny,manual,0.00,191-WALHER-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249953300.jpg?v=1782253685,1,191-WALHER-001A,,,true,,Serial Number,001A,,,,,191-WALHER-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249953300.jpg?v=1782253685,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,despicable-me,Despicable Me,"This playful collectible features the iconic round yellow character in his signature denim overalls and silver goggles. Perfect for fans and collectors, this high-quality figure captures a mischievous expression that adds a touch of whimsical charm to any shelf or desk display. The durable construction and vibrant colors ensure it remains a standout piece in any animation-inspired collection.",BLU-RAY,,Kids & Family,Condition,Standard,shopify,1,deny,manual,0.00,191-BLRDES-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250439155.jpg?v=1782253680,1,191-BLRDES-001A,,,true,,Serial Number,001A,,,,,191-BLRDES-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250439155.jpg?v=1782253680,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,smiles-of-a-summer-night,Smiles of a Summer Night,"This elegant home video release features a high-definition digital restoration of the classic romantic comedy, accompanied by an archival introduction and a scholarly video essay. Film enthusiasts will appreciate the inclusion of an illustrated booklet containing insightful critical analysis and detailed production notes. It is a sophisticated addition to any collection, offering both visual excellence and comprehensive contextual materials.",DVD,Uncategorized,Comedy,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDSMI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250289838.jpg?v=1782253678,1,191-DVDSMI-001A,,,true,,Serial Number,001A,,,,,191-DVDSMI-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250289838.jpg?v=1782253678,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,the-forgotten,The Forgotten,This classic supernatural thriller follows a grieving mother who begins to doubt her own reality when those around her claim her son never existed. It offers a suspenseful blend of mystery and science fiction that keeps viewers guessing until the final revelation. This pre-owned physical copy is a perfect addition for collectors of early 2000s cinema or fans of psychological dramas.,Blockbuster,,Thriller,Condition,Standard,shopify,1,deny,manual,0.00,191-BL2THE-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249728988.jpg?v=1782253673,1,191-BL2THE-001A,,,true,,Serial Number,001A,,,,,191-BL2THE-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249728988.jpg?v=1782253673,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,cheaters,Cheaters,"These lightweight reading glasses feature a durable rectangular frame designed for long-lasting comfort and everyday clarity. The classic aesthetic and versatile magnification make them an essential accessory for reading or close-up work. They provide a sleek, professional look that easily transitions from the office to the home.",DVD,,,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDCHE-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249884999.jpg?v=1782253671,1,191-DVDCHE-001A,,,true,,Serial Number,001A,,,,,191-DVDCHE-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249884999.jpg?v=1782253671,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),blind-trust-pouvoir-intime,"Blind Trust, Pouvoir Intime",,Little Movie Store,Media > Music & Sound Recordings > Vinyl,"Floor Sale, Foreign",Title,Default Title,shopify,1,deny,manual,10.00,35998458,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),tie-me-up-tie-me-down,Tie Me Up Tie Me Down,,Little Movie Store,Uncategorized,"Comedy, Floor Sale",Title,Default Title,shopify,1,deny,manual,6.00,18991866,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),blind-side,Blind Side,,Little Movie Store,Uncategorized,"Floor Sale, Thriller",Title,Default Title,shopify,1,deny,manual,7.00,15616762,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),antz,Antz,,Little Movie Store,Uncategorized,"Floor Sale, Kids & Family",Title,Default Title,shopify,0,deny,manual,6.00,13060858,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),star-80,Star 80,,Little Movie Store,Uncategorized,"Drama, Floor Sale",Title,Default Title,shopify,1,deny,manual,13.00,07719674,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),meteor,Meteor,,Little Movie Store,Uncategorized,"Floor Sale, Sci-Fi",Title,Default Title,shopify,1,deny,manual,15.00,02312954,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,papas-delicate-condition,Papa's Delicate Condition,,VHS,Uncategorized,Comedy,Title,Default Title,shopify,1,deny,manual,4.00,47803898,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,mccabe-mrs-miller,McCabe & Mrs. Miller,,VHS,Uncategorized,Drama,Title,Default Title,shopify,1,deny,manual,12.00,84365050,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,deja-vu,Deja Vu,,VHS,Media > Videos > VHS Tapes,,Title,Default Title,shopify,1,deny,manual,11.00,17288954,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",teaching-mrs-tingle,Teaching Mrs. Tingle,,VHS,Uncategorized,Floor Sale,Title,Default Title,shopify,1,deny,manual,8.00,08048378,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
product has 2 variants,a-million-to-juan,A Million to Juan,"This factory sealed vintage home video captures a heartwarming and comedic journey centered around the challenges of obtaining a green card. Featuring a standout lead performance, this 1994 release offers a nostalgic viewing experience for collectors of physical media and fans of classic family cinema. It remains preserved in its original studio packaging, making it an ideal addition for anyone looking to own a pristine piece of nineties entertainment history.",VHS,Media > Videos > VHS Tapes,"Comedy, Floor Sale",Condition,Standard,shopify,1,deny,manual,0.00,191-VHSAMI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781905893980.jpg?v=1781910005,1,191-VHSAMI-001A,,,true,,Serial Number,001A,,,,,191-VHSAMI-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781905893980.jpg?v=1781910005,lb,,,active
product has 2 variants,a-million-to-juan,,,,,,,Standard,shopify,1,deny,manual,4.00,191-VHSAMI-002A,,,,,,,,,002A,,,,,191-VHSAMI-002A,0.0,,true,true,,,,,,,,,,,,,,lb,,,
Floor Sale with no price,earth-girls-are-easy,Earth Girls Are Easy,This rare cult classic musical comedy arrives in a vintage physical format perfect for collectors of retro eighties cinema. The vibrant cover art and nostalgic feel make it an essential addition for fans of quirky sci-fi and campy performances. This pre-owned edition offers a unique opportunity to own a piece of home video history from a celebrated era of pop culture.,VHS,,"Comedy, Floor Sale",Condition,Standard,shopify,1,deny,manual,0.00,191-UNKRTH-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781906857648.jpg?v=1781910001,1,191-UNKRTH-001A,,,true,,Serial Number,001A,,,,,191-UNKRTH-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781906857648.jpg?v=1781910001,lb,,,active
Floor Sale with no price,earth-girls-are-easy,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781962330875.jpg?v=1781994007,2,191-VHSEAR-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor Sale with no price,earth-girls-are-easy,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781962330875_7510dcd3-4078-409c-9e29-fb0d498a1e68.jpg?v=1782253662,3,191-VHSEAR-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor Sale with no price,earth-girls-are-easy,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781962330875_ac3db354-9738-4798-bd6e-1d55178ce2f3.jpg?v=1782253954,4,191-VHSEAR-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor Sale with no price,earth-girls-are-easy,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781962330875_ed1866fd-09ad-412f-9443-f976072e5a03.jpg?v=1782257845,5,191-VHSEAR-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor Sale with no price,earth-girls-are-easy,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781962330875_26c9aef9-059c-43bc-94d9-6b03897ce2cb.jpg?v=1782258367,6,191-VHSEAR-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"no usable genre (Option1 Value 'Standard', tags Rental)",come-blow-your-horn,Come Blow Your Horn,"This classic 1963 cinematic comedy comes in its original home video format, offering a nostalgic analog viewing experience for film collectors. The story follows a young bachelor as he learns the ropes of a sophisticated playboy lifestyle from his older brother, featuring witty dialogue and vibrant mid-century aesthetics. It is a must-have for those looking to enjoy a vintage physical copy of an iconic theatrical performance.",VHS,,Rental,Condition,Standard,shopify,1,deny,manual,0.00,191-VHSCMB-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781906488983.jpg?v=1781910000,1,191-VHSCMB-001A,,,true,,Serial Number,001A,,,,,191-VHSCMB-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781906488983.jpg?v=1781910000,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,look-who-s-talking,Look Who’s Talking,This classic home video release features the original vintage sleeve art and brings the nostalgic charm of analog media to your collection. It is a perfect choice for fans of eighties cinema and collectors looking to experience the iconic voice-over comedy in its native format. Enjoy a piece of physical media history with this well-maintained cassette that delivers a genuine retro viewing experience.,VHS,,,Condition,Standard,shopify,1,deny,manual,5.00,191-VHSLKW-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSLKW-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
